"","Insect","Plant_Combinations","Mean_Season1","Mean_Season2","StdError_Season1","StdError_Season2","StdError_Season3"
"1","Hoverfly","AgerBot",0,0,0.000993669390090989,0.0011527648038685,"NA"
"2","Hoverfly","AgerBot",0,0,0.000993669390090989,0.0011527648038685,"NA"
"3","Hoverfly","AgerBot",0,0,0.000993669390090989,0.0011527648038685,"NA"
"4","Hoverfly","AgerBot",0,0,0.000993669390090989,0.0011527648038685,"NA"
"5","Hoverfly","Agerwater",0,0,0.000993669390090989,0.0011527648038685,"NA"
"6","Hoverfly","Agerwater",0,0,0.000993669390090989,0.0011527648038685,"NA"
"7","Hoverfly","Agerwater",0,0,0.000993669390090989,0.0011527648038685,"NA"
"8","Hoverfly","Agerwater",0,0,0.000993669390090989,0.0011527648038685,"NA"
"9","Hoverfly","Agerattack",0,0,0.000993669390090989,0.0011527648038685,"NA"
"10","Hoverfly","Agerattack",0,0,0.000993669390090989,0.0011527648038685,"NA"
"11","Hoverfly","Agerattack",0,0,0.000993669390090989,0.0011527648038685,"NA"
"12","Hoverfly","Agerattack",0,0,0.000993669390090989,0.0011527648038685,"NA"
"13","Hoverfly","CymbBot",0,0,0.000993669390090989,0.0011527648038685,"NA"
"14","Hoverfly","CymbBot",0,0,0.000993669390090989,0.0011527648038685,"NA"
"15","Hoverfly","CymbBot",0,0,0.000993669390090989,0.0011527648038685,"NA"
"16","Hoverfly","CymbBot",0,0,0.000993669390090989,0.0011527648038685,"NA"
"17","Hoverfly","Cymbwater",0,0,0.000993669390090989,0.0011527648038685,"NA"
"18","Hoverfly","Cymbwater",0,0,0.000993669390090989,0.0011527648038685,"NA"
"19","Hoverfly","Cymbwater",0,0,0.000993669390090989,0.0011527648038685,"NA"
"20","Hoverfly","Cymbwater",0,0,0.000993669390090989,0.0011527648038685,"NA"
"21","Hoverfly","Cymbattack",0,0,0.000993669390090989,0.0011527648038685,"NA"
"22","Hoverfly","Cymbattack",0,0,0.000993669390090989,0.0011527648038685,"NA"
"23","Hoverfly","Cymbattack",0,0,0.000993669390090989,0.0011527648038685,"NA"
"24","Hoverfly","Cymbattack",0,0,0.000993669390090989,0.0011527648038685,"NA"
"25","Hoverfly","LantBot",0.25,0.25,0.000993669390090989,0.0011527648038685,"NA"
"26","Hoverfly","LantBot",0.25,0.25,0.000993669390090989,0.0011527648038685,"NA"
"27","Hoverfly","LantBot",0.25,0,0.000993669390090989,0.0011527648038685,"NA"
"28","Hoverfly","LantBot",0,0,0.000993669390090989,0.0011527648038685,"NA"
"29","Hoverfly","Lantwater",0.25,0.25,0.000993669390090989,0.0011527648038685,"NA"
"30","Hoverfly","Lantwater",0,0,0.000993669390090989,0.0011527648038685,"NA"
"31","Hoverfly","Lantwater",0,0,0.000993669390090989,0.0011527648038685,"NA"
"32","Hoverfly","Lantwater",0,0,0.000993669390090989,0.0011527648038685,"NA"
"33","Hoverfly","Lantattack",0,0,0.000993669390090989,0.0011527648038685,"NA"
"34","Hoverfly","Lantattack",0,0,0.000993669390090989,0.0011527648038685,"NA"
"35","Hoverfly","Lantattack",0,0,0.000993669390090989,0.0011527648038685,"NA"
"36","Hoverfly","Lantattack",0,0,0.000993669390090989,0.0011527648038685,"NA"
"37","Hoverfly","TalBot",0,0,0.000993669390090989,0.0011527648038685,"NA"
"38","Hoverfly","TalBot",0,0,0.000993669390090989,0.0011527648038685,"NA"
"39","Hoverfly","TalBot",0,0,0.000993669390090989,0.0011527648038685,"NA"
"40","Hoverfly","TalBot",0,0,0.000993669390090989,0.0011527648038685,"NA"
"41","Hoverfly","Talwater",0.25,0.25,0.000993669390090989,0.0011527648038685,"NA"
"42","Hoverfly","Talwater",0,0,0.000993669390090989,0.0011527648038685,"NA"
"43","Hoverfly","Talwater",0,0,0.000993669390090989,0.0011527648038685,"NA"
"44","Hoverfly","Talwater",0,0,0.000993669390090989,0.0011527648038685,"NA"
"45","Hoverfly","Talattack",0,0,0.000993669390090989,0.0011527648038685,"NA"
"46","Hoverfly","Talattack",0,0,0.000993669390090989,0.0011527648038685,"NA"
"47","Hoverfly","Talattack",0,0,0.000993669390090989,0.0011527648038685,"NA"
"48","Hoverfly","Talattack",0,0,0.000993669390090989,0.0011527648038685,"NA"
"49","Hoverfly","TriBot",0,0,0.000993669390090989,0.0011527648038685,"NA"
"50","Hoverfly","TriBot",0,0,0.000993669390090989,0.0011527648038685,"NA"
"51","Hoverfly","TriBot",0,0,0.000993669390090989,0.0011527648038685,"NA"
"52","Hoverfly","TriBot",0,0,0.000993669390090989,0.0011527648038685,"NA"
"53","Hoverfly","Triwater",0,0,0.000993669390090989,0.0011527648038685,"NA"
"54","Hoverfly","Triwater",0,0,0.000993669390090989,0.0011527648038685,"NA"
"55","Hoverfly","Triwater",0,0,0.000993669390090989,0.0011527648038685,"NA"
"56","Hoverfly","Triwater",0,0,0.000993669390090989,0.0011527648038685,"NA"
"57","Hoverfly","Triattack",0,0,0.000993669390090989,0.0011527648038685,"NA"
"58","Hoverfly","Triattack",0,0,0.000993669390090989,0.0011527648038685,"NA"
"59","Hoverfly","Triattack",0,0,0.000993669390090989,0.0011527648038685,"NA"
"60","Hoverfly","Triattack",0,0,0.000993669390090989,0.0011527648038685,"NA"
"61","Hoverfly","CrotBot",0,0,0.000993669390090989,0.0011527648038685,"NA"
"62","Hoverfly","CrotBot",0,0,0.000993669390090989,0.0011527648038685,"NA"
